ProductName;Manufacturer;BrandName;ClassName;StyleName;ColorName;Size;SalesQuantity
Fabrikam Refrigerador 3.2CuFt E1600 Blanco;Fabrikam, Inc.;Fabrikam;Normal;Product0802005;Blanco;19.9 x 18.6 x 34.8;821
Fabrikam Refrigerador 1.7CuFt E1200 Blanco;Fabrikam, Inc.;Fabrikam;Economía;Product0802006;Blanco;22.5 x 21.5 x 33.5;915
Fabrikam Refrigerador 24.7CuFt X9800 Marrón;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802007;Marrón;20.8 x 19.9 x 18.8;115
Fabrikam Refrigerador 19CuFt M7600 Marrón;Fabrikam, Inc.;Fabrikam;Normal;Product0802008;Marrón;21.7 x 17.1 x 46.2;510
Fabrikam Refrigerador 9.7CuFt M5600 Marrón;Fabrikam, Inc.;Fabrikam;Normal;Product0802009;Marrón;36.7 x 42.2 x 29;946
Fabrikam Refrigerador 4.6CuFt E2800 Marrón;Fabrikam, Inc.;Fabrikam;Normal;Product0802010;Marrón;20.7 x 18.7 x 33.7;804
Fabrikam Refrigerador 3.2CuFt E1600 Marrón;Fabrikam, Inc.;Fabrikam;Normal;Product0802011;Marrón;22.8 x 19.9 x 36.1;1083
Fabrikam Refrigerador 1.7CuFt E1200 Marrón;Fabrikam, Inc.;Fabrikam;Economía;Product0802012;Marrón;20.7 x 18.7 x 33.7;992
Fabrikam Refrigerador 24.7CuFt X9800 Plata;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802013;Plata;35.8 x 39.2 x 27;96
Fabrikam Refrigerador 19CuFt M7600 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0802014;Plata;20.7 x 18.7 x 33.7;685
Fabrikam Refrigerador 9.7CuFt M5600 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0802015;Plata;30.8 x 30.2 x 25;868
Fabrikam Refrigerador 4.6CuFt E2800 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0802016;Plata;21.6 x 18.1 x 46;1055
Fabrikam Refrigerador 3.2CuFt E1600 Plata;Fabrikam, Inc.;Fabrikam;Normal;Product0802017;Plata;34.8 x 23.2 x 20.5;907
Fabrikam Refrigerador 1.7CuFt E1200 Plata;Fabrikam, Inc.;Fabrikam;Economía;Product0802018;Plata;36.8 x 40.2 x 28;926
Fabrikam Refrigerador 24.7CuFt X9800 Verde;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802019;Verde;18.3 x 19.3 x 20.2;275
Fabrikam Refrigerador 19CuFt M7600 Verde;Fabrikam, Inc.;Fabrikam;Normal;Product0802020;Verde;19.8 x 17.6 x 34.8;513
Fabrikam Refrigerador 9.7CuFt M5600 Verde;Fabrikam, Inc.;Fabrikam;Normal;Product0802021;Verde;22.5 x 21.5 x 33.5;1046
Fabrikam Refrigerador 4.6CuFt E2800 Verde;Fabrikam, Inc.;Fabrikam;Normal;Product0802022;Verde;20.8 x 19.6 x 18.6;864
Fabrikam Refrigerador 3.2CuFt E1600 Verde;Fabrikam, Inc.;Fabrikam;Normal;Product0802023;Verde;21.6 x 17.8 x 46.2;775
Fabrikam Refrigerador 1.7CuFt E1200 Verde;Fabrikam, Inc.;Fabrikam;Economía;Product0802024;Verde;36.7 x 42.2 x 29;1062
Fabrikam Refrigerador 24.7CuFt X9800 Azul;Fabrikam, Inc.;Fabrikam;Deluxe;Product0802025;Azul;20.7 x 18.7 x 33.7;124
Fabrikam Refrigerador 19CuFt M7600 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0802026;Azul;22.8 x 19.9 x 36.1;593
Fabrikam Refrigerador 9.7CuFt M5600 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0802027;Azul;20.7 x 18.7 x 33.7;1106
Fabrikam Refrigerador 4.6CuFt E2800 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0802028;Azul;35.8 x 39.2 x 25;828
Fabrikam Refrigerador 3.2CuFt E1600 Azul;Fabrikam, Inc.;Fabrikam;Normal;Product0802029;Azul;21.5x 18 x 46;898
